ID,Translation,Host_Lemma,Host_Trans,Form,Context
248,капитализироваться,капита́л,капитал?,капита́лилъа ,капита́лилъа сса́рди
249,крахмалить одежду,раъа́лъи,одежда,раъа́лъилъа,раъа́лъилъа карахма́л бе́шди
250,волна набежала на берег,регьаба́й,берег,регьаба́йлъа,кара́чел регьаба́йлъа ба́ха гьи́бгъва
251,поехать на курорт ,куро́рт,курорт,куро́рталъа,куро́рталъа наъи́
252,вкоренить,кьучІчІ,"основание; фундамент",кьучІчІилъа,кьучІчІилъа буккай
253,поработить,лагьлъи́,"рабство; неволя",лагьлъи́лъа,лагьлъи́лъа ссарда́й
254,порабощение,лагьлъи́,"рабство; неволя",лагьлъи́лъа,лагьлъи́лъа сса́рдайр
255,"загребать; погружать в воду (вёсла)",лълъе́ни,вода,лълъе́нилъа,лълъе́нилъа бе́шди
256,водолаз,лълъе́ни,вода,лълъе́нилъа,лълъе́нилъа гьи́на ваъихо́ гье́кІва
257,прошептать,гьантIукIа,ухо,гьа́нтІукІалъа,гьа́нтІукІалъа маси́
258,дозировать,до́за,доза,до́зелъа,до́зелъа микъа́й
259,ковырять в носу,ми́ъар,нос,миъа́ралъа,миъа́ралъа гьецІи́л бе́шди
260,войти в моду,мо́да,мода,мо́далъа,мо́далъа гьи гъи
261,войти в моду,мо́да,мода,мо́далъа,мо́далъагъи
262,вывезти много книг на дачу,дача,дача,да́чалъа,кьани́ хъучи́балъи да́чалъа му́гъай
263,"убедить кого-л. согласиться с чем-кем-л.; сотрудничать с кем-л.; ",му́хъи,"аспект; отношение",мухъилъа,цеб мухъилъа инчи
264,никелировать чайник,чагьиникI/ча́йникI,чайник,ча́йникIилъа,ча́йникIилъа ни́кил бешди́
265,отправить в отпуск,о́тпуска,отпуск,о́тпускалъа,о́тпускалъа вешти́
266,выйти на пенсию,пе́нси,пенсия,пе́нсилъа,пе́нсилъа ва́нцІи́
267,провоцировать,питна́,"распря; склока; ссора; скандал",питна́лъа,у́ргъада питна́лъа тІами́
268,пойти на войну,рагъ,"война; бой; фронт",ра́гъилъа,ра́гъилъа ва́ъи
269,военизировать,рагъ,"война; бой; фронт",ра́гъилъа,ра́гъилъа са́рдай
270,вогнать гвоздь в доску,чIчIе,доска,чІчІелъа,гьанкІва чІчІелъа гьина раха́й
271,впустить публику в зал,зал,зал ,за́лилъа,халкъ за́лилъа ре́шди
272,вселить в новый дом,мина́,"маленькое здание; дом",мина́лъа,цІинв мина́лъа ре́шди
273,раскошелиться,чанта́,"карман; сума",чанталълъа ,чанталълъа реъа бешти
274,"«протянуть руку дальше; чем сможешь убрать»",unclear,,бацIцIихичIабулълъа,бацIцIихичIабулълъа реъа бештабасси
275,при том,гьу,это,гьу́лълъа,гьу́лълъа са́нду
276,"(за)стыдить; постыдить; устыдить(ся)",су́ли,стыд,сула́лъа,сула́лъа вигъа́й 
277,(по)стыдиться,су́ли,стыд,сула́лъа,сула́лъа рагьи́
278,"заробеть; начать робеть; застыдиться; застесняться",су́ли,стыд,сула́лъа,сула́лъа в=агьи́
279,"скромность; застенчивость",су́ли,стыд,сула́лъа,сула́лъа вагьи́р 
280,"скромный; робкий; стыдливый; застенчивый; стеснительный",су́ли,стыд,сула́лъа,сула́лъа вагьихо́ 
281,"варьировать; видоизменять",батIе́б,"другой; иной",батIе́блъа ,батIе́блъа сса́рдай
282,обратить здания в развалины,чIо́ди,развалина,чІо́делъа,гьанкъа́балъи чІо́делъа ссарда́й 
283,"обратить; превратить воду в пар",хIукке́л,пар,хІуккелалъа́ (хІукке́лалъа),лълъе́ни хІуккелалъа́ (хІукке́лалъа) ссарда́й
284,"варьировать; видоизменяться",батIе́б,"другой; иной",батIе́блъа ,батIе́блъа сса́рди
285,он обернулся лисой,са́ри,"лис; лисица",са́рилъа,го са́рилъа сса́рду
